Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,17397650,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,51161000,0,7529481,16548188,0,0,17006740,0,0,0,0,0,0,0,0,0,0,0
Australia,1075140320,1180619979,2311944442,5708553590,5875364000,6100455208,6914052632,8527342755,13772662630,18199101000,19193929799,31370030052,35764611462,31830282304,53321802118,62393825940,81520085713,93194604069,1.00922E+11,1.22914E+11,1.16938E+11,1.45151E+11,1.58321E+11,1.69158E+11,1.98503E+11,2.25499E+11,2.37705E+11
Austria,124178489,175575654,287236560,249456555,613731000,1029296894,1233332797,1854635404,3029858279,3740012000,3766845011,6098039912,6576610743,6119999565,7757106902,11822071403,13004287072,14483936357,15888636270,18082268951,12387834532,14170789238,11066223095,14307436729,10571278484,13908542138,12034559582
Bahamas,0,0,0,0,0,0,0,0,0,123405000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,35860065,0,0,0,479341268,454144167,264983879,276116810,366267250,306126916,256663995,464856479,484314163,342262709,409331810,657446322,986824981,290817612,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166212358,960242223,1999156617,1757049372,1653079742,2126383261,1868576845,1527301357,1529050578,1612038467
Belgium,863055594,569020223,830227814,1711323428,1782995000,4248757988,3275837437,3863192236,5357859185,9632685000,9525466216,13869569371,15585336310,16505664357,19620354765,27373092241,34069304692,42475217468,45108744539,48925363164,34987335914,43604872464,40575828913,47092405603,43348203395,54782498477,51615968758
Bermuda,0,0,0,0,0,0,346539704,965523176,1147715751,4862385000,67468838,876947827,892877855,55993321,76760962,1842352019,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148263192,50577636,0,0,12046585,7286528,0,0,0,0
Brazil,0,0,0,360386110,455358000,1130707007,1473504726,3738097959,5395935496,10109152000,9669755292,27210034048,34979701351,33308243709,34228445458,38660496369,34888803622,22176318562,36505484319,49264507384,53451395318,67241705714,45524012570,39942133157,45873072206,66862209174,54552473376
British Virgin Islands,0,0,0,0,0,0,0,0,230699218,43465000,2808768,27535946,290179370,0,0,109849023,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136087,257704,0,0,0,0,0,0,0,0,0,0,0
Canada,692681101,1155175193,1729698846,2587774987,2651946000,4759767382,7340195675,13421468355,16272010307,21760605000,26751940477,48178203919,59570424256,53151459506,58689416400,69402683945,89996363930,82866694659,1.01302E+11,1.27934E+11,1.18537E+11,1.56467E+11,1.5482E+11,1.80736E+11,1.83123E+11,2.16868E+11,2.84735E+11
Cayman Islands,0,0,0,0,0,0,17140900,16783220,80177035,830655000,1051102,4452342477,4654854342,10476181,4915839,4944962967,0,0,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0,0,1030081584,1687937555,2667765712,3140534958,6256305236,5790227950,5878653033,5446942260,5972937065,8029434033,7420141312,6835306017,6764081633,4977155232,7459951390,7685666580,7909070642
China,0,0,0,0,0,0,486158733,2107896970,4827492332,6426351000,11056698819,23918688036,31213499138,27234640953,39753149069,73326567219,1.1457E+11,1.32178E+11,1.26771E+11,2.02693E+11,1.97742E+11,3.08738E+11,4.19142E+11,3.35004E+11,3.28325E+11,3.3961E+11,4.62215E+11
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,367678131,2135839537,2197788287,2803734364,2086713052,2616791207,2641851622,3929061311,4639285521,3036340701,2711948021,2801308874,2488401639,1689196839
Croatia,0,0,0,0,0,0,0,0,0,9366000,0,0,0,0,26933105,93389530,169462677,318833467,293038010,295026012,298413894,369665776,309633819,273866691,165437766,209534739,203063262
Cyprus,0,0,0,0,0,0,0,0,35531628,370410000,418404,0,152610388,111587116,92950050,297020358,49182308,60627,0,0,0,24541187,7522090,9941324,0,0,0
Czech Republic,0,0,0,0,0,0,32986740,237977795,697226725,23736000,2069304479,1718681974,787634521,902935211,1436900840,796817685,627774798,847238343,511432901,264624155,319322180,555411143,586460565,369077055,205616464,166900042,46176454
Denmark,448084608,336381533,642826724,1499480074,1450749000,2196846563,2959084468,2603373528,3518260687,5444809000,7312597366,11897949136,17723854417,18300449651,20531841694,26429722176,35839290318,50593485393,47717293365,62687103707,51409498372,70953894001,95220369306,1.04803E+11,1.13933E+11,1.57731E+11,1.53134E+11
Egypt,0,0,0,0,0,0,148349491,176241489,137325985,51060000,622998594,927496849,998384506,750171373,1215819704,1739693108,4107377675,3405244879,1981059016,3062677516,3708594940,4659491388,4826143576,4907714739,1895663247,1367587792,1139123597
