Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Argentina,0,0,0,0,0,0,0,0,0,0,21637714,22583678,24020592,18485849,0,0,0,0,84253715,0,0,0,0,0,0,0,0
Aruba,0,0,0,0,0,0,0,0,0,0,176750693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1645895307,2305569344,3399409413,4544412142,-331995000,2278071000,2703650264,4356818101,3216134774,-7959922254,10030092309,10788599391,12385468642,11281960550,29834022399,43767447291,58102328982,62795990530,62473804319,72506553315,70928290059,62280903388,72973238616,84049520173,81030457894,91390668056,1.05857E+11
Austria,1788636435,3043774365,3576592195,5845445805,8308511000,13934818000,15137815119,11012074320,22228720807,23269884876,26813287505,15151167635,16611350130,20656051633,16799264485,12179652657,17746919901,22193567585,26862729276,18178054066,19031451304,20019920154,20462084283,36055439526,35287837096,44790554139,49694845076
Bahamas,0,0,0,0,0,0,0,0,0,0,0,28103128,30517233,0,0,0,155746375,178387970,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,12173709,14303429,6978443,6814771,0,29999765,28613419,0,0,0,180257743,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,32157304,0,33973833,0,0,0,0,0,0,0,0,0,0,0
Belgium,1777642907,1390523085,3954140994,4120977536,-3546280000,2572512000,2645393158,-288922926,-1384986985,25117779018,26709023560,9758370792,16046455271,16401659141,7629223255,13861672156,16403452775,14572340645,18775188260,24488078619,23559710121,27757440284,18159366026,29416108850,27398717279,30140258202,27773747702
Bermuda,0,0,0,0,0,0,73106885,98485987,228706651,949570189,986322757,513045962,437866157,305895088,333287925,436505127,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,205619000,342489056,359848615,854600750,1083417701,1471194809,2577467664,2124149262,4163157162,15580866434,32359455909,45991327603,24973333561,29311456649,26465063758,24226214861,18412472235,12082052267,13230306761,9315774479,20524944582,10830366517
British Virgin Islands,0,0,0,0,0,0,0,0,0,172038530,392745135,0,202581875,157675628,116589663,1252542294,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,-25183781,116119331,89480562,101449488,92290879,99896168,0,0,0,939394412,561368072,385007744,0,0,0,0,0,0,242138503,289575074
Canada,1989351046,3084953668,8274797621,4070603313,31006975000,11076408000,18844290300,9850470396,23243771040,11944968709,33830516100,22995747807,28239495643,39143891261,58361380335,79972269813,1.00033E+11,1.07356E+11,1.104E+11,1.26164E+11,1.24238E+11,1.11778E+11,1.26672E+11,1.81991E+11,2.02288E+11,2.59408E+11,3.44987E+11
"Cash, cash eqvivalents and derivatives",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.15E+11
Cayman Islands,0,0,0,0,0,0,144809735,549956005,1420966076,714735230,7916357372,746816185,1503660100,1463547870,3226013891,1550760873,0,0,0,0,0,0,0,0,0,0,0
