Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
France,6.608e+09,8280246412,11720800781,17121433820,19830304847,28109597784,36568411703,40606981671,48960564788,52756694277,53380530634,54357259162,46971266420,53771851360
United Kingdom,4.415e+09,7.689e+09,13761478824,30544985165,47987293540,42870714846,51130769761,56406285559,56905456483,49274703515,55338372827,53947997757,56348705801,67874014945
Switzerland,NA,6.08e+09,7003772567,7686540167,9018514753,8653262749,8506873377,9059423999,9460459975,10621334033,11152236697,11300120807,10979779178,10703464722
Belgium,NA,NA,47637962,135496718,131356625,132056404,156963813,177414072,206553550,234517514,271834682,343551666,355656665,387512037
Czech Republic,NA,NA,573986541,864014434,940083784,1294469846,1247992794,1496831251,1555169879,1670450003,1966989933,2401967607,2463293209,2569743704
Germany,NA,NA,3976099397,5706633334,6058469650,5649707102,7029754158,7714306796,9235719323,10849139101,12126026065,16292505767,16006833725,18143049086
Hungary,NA,NA,390790515,512569822,549370552,611671084,708272857,769701275,830228354,912484248,944442351,988208011,1085456240,1033134849
Italy,NA,NA,825830191,1117402211,1166992843,1177245003,1221729319,1331349377,1508427357,1675722269,2560184430,2577860537,2826739667,3500607455
Netherlands,NA,NA,884656210,1546846579,1662657109,2255908396,2608395883,2837640156,2456587185,2681760901,3101143169,3129716175,3633607693,4092868610
Poland,NA,NA,922251385,1269541849,1641102986,1699236548,1837206697,1433452234,1506354921,1655577367,1842704110,1930472616,2181505531,2181474193
Spain,NA,NA,924632627,1810708609,1922908820,1753789857,2035096030,2090389308,2679622762,3030426865,3416793487,3094955431,3235361173,3816660790
Sweden,NA,NA,316240877,415849885,490191496,470568969,472326302,480928255,511624144,598975250,625296490,551694546,545108434,566860376
United States of America,NA,NA,9635566457,37711319819,88627986393,93762120980,1.00151E+11,1.15693E+11,1.24939E+11,1.27682E+11,1.55383E+11,1.70819E+11,1.45905E+11,1.79024E+11
Japan,NA,NA,NA,NA,NA,NA,3484729579,3720700940,3782605203,8863244039,8025132211,7996962600,8003402704,8104092504
