Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
France,1102674921,1487540675,1931941746,2283603820,2240370661,3265634000,4470821239,4689488191,5571741580,6161761547,6053381109,5517943271,4625113623,4734542068
United Kingdom,736729688,1381323656,2268307083,4073995527,5421466052,4980507551,6251202083,6514067265,6475875011,5755079569,6275401475,5476398108,5548480735,5976219360
Switzerland,NA,1092267893,1154433119,1025206923,1018885792,1005293255,1040042714,1046225553,1076606008,1240527454,1264669687,1147103929,1081144498,942426246
Belgium,NA,NA,7852174,18072133,14840293,15341660,19190255,20488624,23505918,27390666,30826200,34874801,35020399,34119934
Czech Republic,NA,NA,94610307,115239569,106207955,150385102,152578480,172861222,176979263,195101584,223057725,243829825,242552774,226262614
Germany,NA,NA,655381194,761133081,684468431,656355020,859451443,890884994,1051030387,1267134134,1375097929,1653893591,1576142829,1597472041
Hungary,NA,NA,64414072,68364975,62066301,71060920,86592805,88888780,94480484,106574349,107100275,100315502,106881479,90966189
Italy,NA,NA,136121742,149035646,131843486,136766500,149367532,153750585,171659936,195717362,290326302,261685163,278340210,308223966
Netherlands,NA,NA,145818046,206313606,187842206,262080277,318900143,327704238,279561092,313218473,351671316,317705428,357789979,360371795
Poland,NA,NA,152014865,169327560,185407083,197408895,224615244,165541910,171424092,193364522,208963645,195967172,214806023,192075985
Spain,NA,NA,152407366,241506707,217244694,203746629,248809017,241408141,304942674,353941201,387466234,314176777,318575891,336052054
Sweden,NA,NA,52126042,55464770,55380422,54668375,57746190,55539892,58223134,69957807,70908961,56003913,53675122,49911324
United States of America,NA,NA,1588232189,5029819050,10012934343,10892819334,12244430513,13360786455,14218140455,14912714869,17620488061,17340236826,14366775173,15762791608
Japan,NA,NA,NA,NA,NA,NA,426039915,429684315,430462736,1035189885,910054343,811791960,788070020,713554879
