"Country","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,2993144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0,0,0,0,0,0,0,0,0,9422176,0,1303400,2847000,0,0,2803224,0,0,0,0,0,0,0,0,0,0,0
"Australia",142348575,146894437,262169816,636454745,848085105,916975595,1141554410,1259345428,2211996212,3351676560,2741167622,5430347264,6153051439,5333537028,9581205176,10284385788,10872896572,10528857637,11724673361,15027347784,13504511591,16518229504,18491233960,19182655704,20150495711,22204226724,20929594613
"Austria",16441232,21845375,32572044,27812266,88589596,154716344,203631152,273898529,486618690,688787352,537959329,1055608627,1131459911,1025477687,1393846979,1948634201,1734471537,1636353364,1845863153,2210721992,1430606297,1612644299,1292488637,1622471080,1073117294,1369530623,1059627430
"Bahamas",0,0,0,0,0,0,0,0,0,22727148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahrain",0,0,0,0,0,0,0,0,5759404,0,0,0,82467315,76097180,47614012,45512384,48851591,34585336,29817953,56832937,55930913,38949701,47808246,74554769,100175107,28635900,0
"Bangladesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18778193,111556190,244415098,202912454,188121464,248352686,211897628,155040236,150560825,141937905
"Belgium",114268561,70798316,94146149,190797880,257368139,638642072,540861763,570528664,860513655,1774024145,1360372774,2400908700,2681348179,2765717598,3525511834,4511911826,4544058351,4798727594,5240510769,5981571049,4040504659,4962260587,4739087349,5340304322,4400386092,5394261200,4544719390
"Bermuda",0,0,0,0,0,0,57215927,142591571,184332032,895491591,9635515,151805123,153613393,9382337,13792905,303675220,0,0,0,0,0,0,0,0,0,0,0
"Botswana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16750348,5875860,0,0,1370909,851036,0,0,0,0
"Brazil",0,0,0,40179959,65729094,169959569,243285075,552054343,866629005,1861773713,1380979326,4710226084,6018013130,5581186790,6150387759,6372416720,4653360580,2505416518,4241026565,6023034521,6172822427,7652146363,5317014530,4529459549,4656691923,6583712511,4803274830
"British Virgin Islands",0,0,0,0,0,0,0,0,37052080,8004825,401132,4766643,49923332,0,0,18106434,0,0,0,0,0,0,0,0,0,0,0
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24453,42478,0,0,0,0,0,0,0,0,0,0,0
"Canada",91710981,143728561,196144342,288514706,382797713,715453248,1211913368,1982125654,2613410792,4007588619,3820559608,8339946673,10248675139,8906150271,10545692713,11439657141,12003436319,9362040219,11768796405,15641099163,13689207452,17806083824,18082385028,20495565355,18589307725,21354319112,25070513718
"Cayman Islands",0,0,0,0,0,0,2830072,2478600,12877052,152979363,150112,770728168,800835160,1755407,883310,815079158,0,0,0,0,0,0,0,0,0,0,0
"Chile",0,0,0,0,0,0,0,0,0,0,147110379,292192485,458970443,526233455,1124173259,954404335,784076537,615379829,693906278,981671408,856913359,777861914,790016484,564412102,757278592,756783538,696383457
"China",0,0,0,0,0,0,80267924,311301010,775332633,1183522747,1579054687,4140473637,5370064363,4563483421,7143102125,12086431548,15281017828,14933142159,14727575506,24781117975,22836221785,35134558655,48954067507,37989615985,33329111130,33440382253,40697476028
"Colombia",0,0,0,0,0,0,0,0,0,0,0,0,0,61608782,383781417,362261848,373953409,235750822,304005856,322990409,453746767,527953471,354631913,307536375,284367970,245025123,148731600
"Croatia",0,0,0,0,0,0,0,0,0,1724910,0,0,0,0,4839514,15393413,22602408,36020885,34043707,36069615,34462261,42068186,36163937,31056632,16794006,20632230,17879458
"Cyprus",0,0,0,0,0,0,0,0,5706654,68217354,59754,0,26255550,18697730,16701864,48957921,6559784,6849,0,0,0,2792802,878549,1127352,0,0,0
"Czech Republic",0,0,0,0,0,0,5446322,35145327,111980008,4371391,295526268,297514536,135507015,151297383,258191607,131339606,83730658,95718545,59415744,32352712,36876851,63206121,68496145,41853538,20872649,16434125,4065777
"Denmark",59326401,41853075,72895246,167179167,209409771,330213830,488563816,384474585,565059896,1002754957,1044343465,2059608978,3049265276,3066454922,3689293685,4356415962,4780133551,5715906096,5543559064,7664069115,5937014415,8074595609,11121341438,11884678553,11565646583,15531287071,13483257628
"Egypt",0,0,0,0,0,0,24493452,26027911,22055616,9403575,88973105,160555471,171765075,125700007,218466324,286753936,547829316,384714745,230149638,374440209,428286256,530252908,563673413,556537513,192433584,134662089,100298362
"Estonia",0,0,0,0,0,0,7852283,7155493,0,0,0,0,0,0,0,0,0,0,11074029,14216671,10494975,9592611,8835522,12548188,9841139,12882215,19966205
"Faeroe Islands",0,0,0,0,0,0,0,0,0,0,0,0,2762801,1489181,1431283,5868061,0,0,0,0,0,0,0,0,0,0,0
"Falkland Islands (Malvinas)",0,0,0,0,0,0,0,0,0,0,0,620102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faroe Islands",0,0,0,0,0,0,0,0,0,0,0,2702289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
