"Group","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Basic Materials",476633435,635615004,1168840658,1636718146,2553589376,3118843010,4658479358,6433856313,13075856410,10154290421,22659498202,29604030517,25437187535,31405901772,32697025280,30290427714,26515238426,30742045647,41403652433,31331440652,36143115468,41287842558,44241127365,38661340278,43909541709,39521759400
"Consumer Discretionary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146556780800,116715157674,155271478926,183400008738
"Consumer Goods",1091662750,1642353826,2567906357,3977995039,5719509451,6574078233,8437220418,12335004253,20474167996,19370821701,32130384194,37867810763,41293914490,56847541594,71736838528,72911087921,74667335192,74392819568,93557066505,75499787228,93625001178,111423712887,0,0,0,0
"Consumer Services",1359743284,1991305527,3656749160,3833867310,5971175633,7794610747,8768486421,11052574173,15078211551,13741606316,23736668727,27773497006,29187430474,38987423933,52374305869,54735691605,56841605380,55817635895,69943533096,68102355456,86904166358,106349270005,0,0,0,0
"Consumer Staples",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60319642918,57719475959,61463229438,59309363538
"Energy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37600287781,38348863416,41058704248,40401420663
"Financials",2296703710,4014710819,6196613388,7658909316,13481701698,17912931576,22997897078,33613533781,40243343558,33905002303,64992238555,69971401228,64231246710,96050532064,121942097858,128893068720,127026775518,132852965989,169108581748,150026579257,192099861794,188866407802,144645065977,138991212672,164533681343,197686814418
"Health Care",845699822,1883200737,2946733358,3738199432,5651516978,6670413200,8126905707,9242729510,13419228338,16591422232,24385229466,25127839024,30990707495,36243787491,44632682693,50705066533,55520650490,55422832407,67753301022,72391320733,92027312458,108350088040,114876671451,112027042947,122350225814,126313700993
"Industrials",1191138813,1504810371,2497408559,2987654672,5484965821,7213775057,9190259730,12794870867,21475657535,18303384316,34039824608,44498785467,42732752160,54677398171,73714124511,71886740436,70041849310,76622910677,99009694285,81851272687,108908415452,128096810337,134944417650,115736652143,143901079208,162667017609
"Oil & Gas",706204208,1137503376,1978037317,2768020008,4200409368,5562286857,7978926903,9197922955,17469495842,17580467303,30862415349,35226222344,37589506314,41236847739,43024811258,36191371353,27949584909,34956127144,38691370754,37042385236,40680672764,27636369918,0,0,0,0
"Real Estate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63346276513,48473562724,60504186632,62811616191
"Technology",1831920943,2130553199,2717175352,2717574984,4874944768,5297679654,7355378298,9304955793,14420534273,11459289688,23672189771,25816948133,25588031375,30451406399,38331835140,44088973006,46641188433,51562591861,77337337257,79665842087,118366344443,172097205496,206677255125,153829640783,245074415242,347235729038
"Telecommunications",1430546642,1571293216,2203482734,2336189989,3658180080,4686190234,4298374758,5370447651,9191188709,9743865459,14487706889,14702295386,14317449119,16237439508,19788573316,17544245850,17428748741,17716619073,19644390958,18863695500,22120001939,22473256381,31964601037,26895798678,36569993943,36805564927
"Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,7,0,0,0,0,0,0,0
"Utilities",346333993,608665586,962468674,1120441126,1595214489,2258462311,3183507759,5548840314,8972925222,9675363588,13759888192,15170338760,13824559459,15694641323,17710644333,19567223721,16862983368,16689628240,18047446390,17938598724,23135199520,24560320124,23848930036,23562523421,25857879755,29690044568
