"Group","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Argentina",0,0,0,0,0,0,0,0,0,0,3090175,3909375,4132575,3097521,0,0,0,0,9788180,0,0,0,0,0,0,0,0
"Aruba",0,0,0,0,0,0,0,0,0,0,25242526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",217916539,286862258,385486127,506662966,-47922139,342422888,446389992,643428924,516536135,-1465956199,1432440596,1867573640,2130833312,1890424779,5360769489,7214196376,7749508705,7094509937,7257897500,8864586222,8191137703,7087604085,8522969489,9531261147,8225607338,8998953106,9320601891
"Austria",236815463,378710791,405578295,651717058,1199300067,2094579424,2499350326,1626298587,3570104607,4285548381,3829320847,2622761329,2857866687,3461163655,3018600148,2007574384,2367029216,2507365270,3120778988,2222432597,2197842896,2278278899,2389885981,4088706386,3582157862,4410385708,4375566929
"Bahamas",0,0,0,0,0,0,0,0,0,0,0,4864826,5250277,0,0,0,20772969,20153758,0,0,0,0,0,0,0,0,0
"Bahrain",0,0,0,0,0,0,0,1797853,2297241,1285200,973246,0,5161250,4794514,0,0,0,20365000,0,0,0,0,0,0,0,0,0
"Barbados",0,0,0,0,0,0,0,0,0,0,0,0,0,5388333,0,5599913,0,0,0,0,0,0,0,0,0,0,0
"Belgium",235359921,173010885,448391563,459453640,-511891221,386681097,436771370,-42669067,-222439631,4625869780,3814430465,1689234663,2760680476,2748290308,1370868022,2284821967,2187841730,1646341027,2181208485,2993890545,2720787850,3158813320,2120938107,3335802688,2781313296,2967816910,2445442617
"Bermuda",0,0,0,0,0,0,12070415,14544727,36732058,174879635,140860993,88811446,75331813,51256309,59887323,71949220,0,0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,30907137,56547139,53143602,137255496,199529950,210107655,446175678,365445034,697585798,2799670533,5333815062,6134180848,2821415215,3405260016,3235594974,2797759001,2095350362,1411133243,1500323958,945667900,2021027067,953599785
"British Virgin Islands",0,0,0,0,0,0,0,0,0,31683846,56089623,0,34852796,26420400,20949582,206456777,0,0,0,0,0,0,0,0,0,0,0
"Bulgaria",0,0,0,0,0,0,0,-3719222,18649663,16479380,14488438,15976125,17186438,0,0,0,125293517,63421746,44728295,0,0,0,0,0,0,23842621,25496711
"Canada",263390078,383834378,938345253,453837347,4475731832,1664924240,3111313142,1454749183,3733129529,2199870844,4831481428,3980706932,4858407854,6559017963,10486749083,13181843926,13342111128,12128780167,12825711537,15424690462,14347575791,12720370493,14794755771,20637931923,20534806295,25543089906,30375687376
"Cash, cash eqvivalents and derivatives",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27765838959
"Cayman Islands",0,0,0,0,0,0,23909015,81219274,228218148,131630750,1130569025,129278525,258694212,245234607,579670973,255612198,0,0,0,0,0,0,0,0,0,0,0
"Chile",0,0,0,0,0,46593314,32478977,32750218,45164973,45288620,29256380,39253144,56686709,108473735,112911708,563639288,1319136054,1427583851,1453486555,785224843,362539030,368347202,148612790,533615286,281170948,285820417,334061089
"China",0,0,0,0,17934265,41140422,88149487,90280492,84989280,98183900,66346507,66026022,76999917,58624458,1042305750,1945739440,3324639797,3364992181,2912633365,1756812324,1311864546,719597360,208230794,105270732,76503465,48942439,32924704
"Colombia",0,0,0,0,0,0,0,0,5542322,14648235,5127069,0,0,0,0,485908306,1137612280,1080957858,1109231223,1082698125,1270892830,1303601580,1199601052,846568790,922423002,870716913,1092634617
"Costa Rica",0,0,0,0,0,0,0,0,0,14306102,13488590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croatia",0,0,0,0,0,7232894,148972667,117034458,119280070,74032282,114710979,58729919,47000989,26931793,28968260,29674648,23179959,0,0,24398134,23535667,0,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,1316564,2903615,2012806,39610836,62269203,39816686,0,0,0,0,27432014,41378148,56097703,37444000,0,11303199,57882482,64094605,55975084
"Czech Republic",0,0,0,0,56922544,56229257,53085276,57133345,63340223,64901351,59134301,68960619,111371013,162611363,936306546,1083652706,957119917,988834361,902258449,625441448,50692821,51618153,38079001,312868907,45583499,64816993,158666703
"Denmark",174376553,177651636,303238095,475507187,2126849793,2047953192,1919181330,3100347185,3443911332,3743479999,2464973726,1596682430,2348763063,2649946204,1666768114,1935196520,1574027451,1882863812,2114066725,2112496170,2007868882,2352511394,2628703599,2938203877,3074897732,3408460888,4144656184
"Egypt",0,0,0,0,0,0,0,0,0,37465303,40181076,22558414,27942053,28688115,28111728,27179765,26061061,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,876265,0,7886187,7011181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Estonia",0,0,0,0,0,0,0,15738622,0,14356528,8860974,12113269,13792121,12999635,15157340,15931540,14688058,13036010,11224454,0,0,0,123828874,161598754,226387079,267568412,381373358
"Finland",276678196,225491882,110107130,288059092,405844424,176364088,300692347,48402866,525899302,1150933397,1045538395,550381967,714788733,1755516204,1970324019,2822116606,2896874197,2255260765,2013240590,2990129354,2863963989,3090659642,1951432107,2468745998,2842881838,4126798680,4370505589
"France",993918583,976666226,1562913476,1186603421,3203821271,4620077112,8523141172,7561805887,12729768942,15392838850,16140180461,16075150795,18719481423,24135875635,16424043986,12963728845,10730522746,12399751875,13192089420,14844816931,12727363625,17843313355,19280309058,16670567454,15849134935,17565525793,18669531412
"Germany",2171238776,2763632595,2854997169,5026117268,14524571148,18037350140,26275298821,27659483645,49983149993,42467234827,31844968909,21518519664,22481373516,19010411181,23955522525,28017722265,23576924497,29951660284,28772434702,28494178571,26552178692,26107366504,30233406333,30619274063,32425922122,35437264864,40799279403
"Greece",0,0,0,578085435,683247207,1163592022,2405925719,2457400481,3646339262,3487982272,3257767977,1765305721,866346622,271630711,32676701,16093187,13877224,14879901,16890109,0,0,4795580,0,163844478,14111808,0,10995779
"Guernsey",0,0,0,0,0,0,0,0,5871812,5862120,58536511,8804486,4798219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hong Kong",0,0,0,0,12065302,133134469,147694495,183651645,295508666,257140173,33592378,229511294,160383831,162113012,531946329,713036846,1069072398,603415219,827280958,509620198,366511150,412238603,361962319,580715824,490359757,298800795,232011484
"Hungary",0,0,0,0,13633477,53216541,153958529,188385764,243624146,320865273,289794493,226440428,161215742,112752572,44690695,367728285,399014628,248419087,206672881,43198550,63128801,0,36464336,66034170,30665171,82264414,134561686
"Iceland",0,0,0,0,0,0,2737084,-332892944,683604005,731633239,104949310,129461649,24207889,20338335,14895616,16418035,77388262,73014361,59704192,61591602,112806570,138683057,215506750,244931672,219302593,244265549,278887240
"India",0,0,0,0,0,0,0,1674624,10101428,29817247,16336667,31420404,51160024,135399128,1322371305,2115608910,3552578153,3834798251,3776501440,3604249122,2092022629,2370088340,1429651747,808909186,497975769,500516984,611370942
"Indonesia",0,0,0,0,0,0,0,5103592,5176497,4968009,3446003,0,0,55244773,1349206354,1486068483,2129854320,1768539159,2445425839,2789640285,2900314215,3048153013,1989701735,730382400,648648496,931309993,2161095247
"International Organisations",583838134,565272449,398495678,468163762,595807615,0,1791923165,2779899474,7648882153,12205027114,8369529239,4615488499,4818316998,6086808643,6065344406,7888232997,8655511546,8184087328,6793202681,7014526379,6629822321,5666078059,6675495558,8010606503,9161849575,9678304727,8845917141
"Ireland",121399006,65906095,74713680,127567097,152529374,204059945,95520887,169201242,1395911222,2402379157,3771059645,2751650239,2488148935,2223732747,1697420635,953078983,410006102,338128591,313083719,917437120,1278014899,1401170064,1982945204,2278310345,880056632,924332858,1531943250
"Isle Of Man",0,0,0,0,0,0,0,0,0,0,2577448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isle of Man",0,0,0,0,0,0,0,0,0,0,0,2918584,0,0,61067100,56084100,0,0,0,0,0,0,0,0,0,0,0
"Israel",7074383,0,7890129,8576631,9655302,25536166,33258316,45014537,98037513,117695286,89584421,119371730,88445787,122204513,1048001273,1268274497,1269159957,1279611307,1664207736,1223603656,116743803,115834098,0,532996084,478850118,0,0
"Italy",961526570,1247983768,4363641245,4843234842,4597991570,5152836401,5614332392,7547557105,13268289972,11730797661,14147744909,8687489424,12351840784,7876468466,6156330676,7330785661,8364737614,5520235500,5683623209,5946835277,5454898993,6310157203,5051590254,9098500645,8236324219,8135366090,10803671369
"Japan",2847305946,3256178634,5122482273,6053296296,4229454084,6200236592,8685664176,11528399160,9149364578,10158451119,9562003453,8599130851,9774693860,11496187768,19020803935,23904521316,27194484717,26057106020,22786551698,27438943284,31780226773,32214228355,38683668739,48203838835,53341478005,39066449432,26849279585
"Jersey",0,0,0,0,0,0,0,999890,37171865,110491215,468035266,151620372,150516937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jersey C.I.",0,0,0,0,0,0,0,0,0,0,0,0,0,96117188,72368040,63262280,0,0,0,0,0,0,0,0,0,0,0
"Jordan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294477500,556072058,784993794,302963000,0,0,0,0,0,0,0,0
"Kazakhstan",0,0,0,0,0,0,1794311,3287185,16144074,15693741,1140307,2301483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kuwait",0,0,0,0,0,0,1003314,1009468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,27071478,26518254,6449447,0,0,0,0,0,33524729,129925420,231868022,143569218,172259004,94103989,0,76339873,128731501,363285303,516247937
"Liberia",0,0,0,0,0,0,0,0,0,0,11372808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lithuania",0,0,0,0,0,0,0,0,0,5847740,0,30391818,50810139,48142044,52614365,89742675,94782942,187653219,236485824,404639901,289874847,243647088,222033307,62910063,207968629,359229993,564820456
"Luxembourg",0,0,0,0,20285517,52519690,20742959,12700570,220775144,186599973,1577442898,485852035,1241587206,629451670,776405822,496062117,104581961,79126148,86468972,133669353,502890498,548602241,629131675,692946909,956499796,1021294736,844743367
"Malaysia",0,0,0,0,11059788,39946638,42964201,46233612,90589645,105584170,96532224,99579189,55626695,5506556,966342428,1186474496,1424166482,1242706219,1235692804,1904976512,1958378811,1932833033,1324955356,746480812,546816920,207096504,189339728
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18523259,17723043,18438254,20203062,18182793,14782149,15806808,15193881
