"Group","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Cash, cash eqvivalents and derivatives",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27765838959
"Convertible Bonds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14465343,267046,1194421,0,0,0,0,0,7198936,6084269
"Corporate",132322536,144282014,146228551,646827293,7138012357,19410819497,27599634991,25161520440,49547763417,73907988985,0,44635596537,32217640906,28029990595,33102403548,39130455383,57353350514,0,0,0,0,0,0,0,0,0,0
"Corporate Bonds",0,0,0,0,0,0,0,0,0,0,45706749668,0,0,0,0,0,0,53726941199,64489578541,72965872431,66870469380,68616810201,79220480998,79241186750,79200308628,92624004363,105822144420
"Corporate Bonds/Securitized Bonds",0,0,0,0,0,0,0,0,0,0,24217493471,0,0,0,0,0,0,24005099055,13335993204,11315764577,9850572579,8206650244,7309085480,12016144370,12215465170,13198522823,15289746108
"Corporate/Securitized",151883254,307836203,544643924,887233618,1392160137,2937906145,5327764193,8055926571,10889805970,35174708069,0,20775404092,24081451149,21318429590,14387245035,14137524002,15923482740,0,0,0,0,0,0,0,0,0,0
"Government",10970666930,13557897031,25792865015,36193011814,41349063196,35252313915,47547083333,29468695433,58126531724,29564279148,83319171681,71566196744,107218016254,122633075515,162623331783,201640303194,184276838053,184895716423,187544540178,195396246046,182751075243,194409768285,198497195492,0,0,0,0
"Government Related",2164214808,2042795404,1248679651,1279453409,2637046246,6114221378,11461157915,17435428373,35611820588,43970126660,0,23025347009,22882274172,25151150338,27864655298,34749753376,42675079399,0,0,0,0,0,0,0,0,0,0
"Government Related Bonds",0,0,0,0,0,0,0,0,0,0,42822325310,0,0,0,0,0,0,40317634770,37111340822,37699679979,38187065113,35456070429,36105886591,40555288204,37825237021,36925400655,41372842966
"Government Related Bonds/Corporate Bonds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72307742,0,0,0
"Government Related Bonds/Index Linked Bonds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201601438
"Government Related Bonds/Index Linked Bonds/Treasuries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8759613479
"Government Related Bonds/Securitized Bonds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728868607,869090482,1012696624,735423020
"Government Related Bonds/Treasuries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7203140900
"Index Linked Bonds/Government Related Bonds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2607323813,0
"Index Linked Bonds/Treasuries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251183397940
"Securitized",1204563,22049309,44626569,44936593,3912293370,7064627527,10335856224,17784119749,31843430916,22964471788,0,25244599949,29169325108,25311920953,23007953157,20258371457,13187517410,0,0,0,0,0,0,0,0,0,0
"Securitized Bonds",0,0,0,0,0,0,0,0,0,0,34603481228,0,0,0,0,0,0,4133226702,8288612383,9216432051,9512878664,11574019365,13410335788,14964622479,16026368730,20000976045,19755588401
"Treasuries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32317141583,29703561457,42068364338,38964506996
"Treasuries/Government Related Bonds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3714665058,2633771135,1862722385,0
"Treasuries/Index Linked Bonds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195366649596,205210005350,231719369574,0
"Treasuries/Index Linked Bonds/Government Related Bonds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8728555452,7633949730,7742297054,0
